,mean_value_5,max_value_5,mean_value_10,max_value_10,mean_value_15,max_value_15
MSWD_2_cel_4_bs_16,53.74999811989922,58.333330971854075,76.13094912937707,77.97618756975446,81.4583306993757,82.73809269496373
MSWD_4_cel_4_bs_16,52.023807879856655,53.57142693655832,69.91071161542622,72.0238058907645,77.76785474504746,79.16666521344867
MSWD_4_cel_3_bs_16,53.15476006099156,56.54761723109654,73.36309269496373,74.99999836512974,81.27976003374371,83.33333042689732
MSWD_4_cel_2_bs_16,46.488093866620744,48.21428462437221,66.48809258597238,69.04761614118304,78.48213985988073,79.76190185546875
MSWD_3_cel_4_bs_16,46.66666532244001,47.61904634748186,64.07737857273646,67.85714067731585,74.37499784742081,76.19047328404018
MSWD_3_cel_3_bs_16,42.85714165823801,45.83333233424595,66.22023579733714,67.8571412222726,74.16666396004813,76.19047382899693
MSWD_3_cel_2_bs_16,47.41071252822876,51.19047382899693,69.43452145712715,72.02380807059151,80.95237857273648,82.14285496303013
MSWD_2_cel_3_bs_16,55.6547597340175,57.14285496303013,66.60714029584612,67.85714013235909,72.23214026859829,74.40475954328265
MSWD_2_cel_2_bs_16,53.95833168029785,54.76190349033901,75.2976157597133,77.97618756975446,81.81547372000558,82.14285496303013
MSWD_cel_stage_5_bs_16,49.494046047755646,51.19047491891043,69.79166396004814,70.83333097185407,79.37499749319893,80.35714013235909
MSWD_cel_stage_4_bs_16,54.017854990277975,56.54761668613979,74.99999806540353,76.19047546386719,82.23213994162424,83.33332933698382
MSWD_cel_stage_3_bs_16,50.11904596601214,52.380950927734375,71.5476167678833,73.80952181134906,79.10714021410261,80.95237949916294
MSWD_cel_stage_2_bs_16,48.69047480991909,51.190474373953684,73.66071164267404,75.59523555210659,82.26190169198173,83.92856924874442
